,names,Price,lat,lon,random
2334,RJ Lake Gardenia,1210.0,13.018249,77.707173,330
2335,RJ Lake Gardenia,2390.0,13.018249,77.707173,831
2336,Samruddhi Winter Green,1000.0,12.9389418,77.71295079999999,395
2337,Samruddhi Winter Green,1720.0,12.9389418,77.71295079999999,458
2338,Citrus Aries Lakeview,586.5,13.077676,77.6104505,-294
2339,Citrus Aries Lakeview,782.0,13.077676,77.6104505,-11
2340,Pyramid Carnations,1050.0,13.1351114,77.5622471,165
2341,Pyramid Carnations,720.0,13.1351114,77.5622471,-58
2342,Mythri Arteor,1600.0,12.8874178,77.6294089,-420
2343,Mythri Arteor,1600.0,12.8874178,77.6294089,-247
2344,Mythri Arteor,3660.0,12.8874178,77.6294089,147
2345,Mythri Arteor,3660.0,12.8874178,77.6294089,542
2346,Sobha City Casa Paradiso,530.5,13.0761452,77.64069640000002,173
2347,Sobha City Casa Paradiso,604.7,13.0761452,77.64069640000002,293
2348,Ittina Neela,984.8,12.831385,77.70049300000002,820
2349,Ittina Neela,1220.0,12.831385,77.70049300000002,896
2350,Ittina Neela,1650.0,12.831385,77.70049300000002,-505
2351,VBHC Vaibhava,510.4,12.756369,77.70242569999998,-877
2352,VBHC Vaibhava,615.0,12.756369,77.70242569999998,776
