"Permanent Location Code Number","District / Taluk / Village / Town / Ward","","Total number of House holds","Total Population","Sex            Ratio","Sex Ratio            0-6 age group","Literacy Rates (7+)","Work Participation Rate","Population"
"","","","","","","","","","Scheduled Castes"
"","","Female","","Person","","","Person","Male","Male"
"1","2","17","3","4","7","8","9","12","14"
"","","","","","","","","",""
"02035500","Lakshmipura","3","318","1,424","986","835","76.3","57.7","269"
"02035600","K.G.Srikantapura","7","30","123","783","700","56.6","59.4","6"
"02035700","Gangondanahalli","137","364","1,602","937","1,052","74.7","59.3","118"
"02035800","K.G. Lakkenahalli","0","141","742","942","800","61.2","56.5","82"
"02035900","Vaddarahalli","0","69","346","966","655","67.1","51.7","26"
"02036000","Bettahalli","0","124","574","979","1,167","67.0","62.1","56"
"02036100","Kittana Halli","54","428","2,142","942","932","62.0","58.4","203"
"02036200","Gattisiddanahalli","0","2","9","800","0","62.5","40.0","0"
"02036300","Giddenahalli","0","82","444","1,114","733","70.9","61.4","0"
"02036400","Kadabagere","3","798","3,465","908","953","87.3","55.9","162"
"02036500","Byandahalli","1","109","505","884","1,130","83.8","62.7","89"
"02036600","Bylakonenahalli","104","67","352","934","577","66.6","58.2","0"
"02036700","Machohalli","30","525","2,465","959","1,133","79.2","56.5","306"
"02036800","Kachohalli","31","493","2,232","967","863","68.5","60.0","384"
"02036900","Chikkabanavara","26","1,134","5,229","981","1,042","80.9","57.2","395"
"02037000","Ganigarahalli","0","124","607","885","900","72.2","63.4","28"
"02037100","Somashetti Halli","0","220","1,010","942","1,044","70.8","53.3","286"
"02037200","Lakshmipura","9","246","1,190","980","1,284","67.8","59.2","260"
"02037300","Abbigere","1","19","75","786","1,333","66.2","59.5","4"
"02037400","Guddahalli","14","262","1,114","1,022","1,156","77.3","57.5","149"
"02037500","Myadarahalli","1","171","730","911","672","70.6","59.2","201"
"02037600","Chikkasandra","14","129","525","996","1,286","85.2","56.3","23"
"02037700","Sidedahalli","0","135","549","777","639","80.2","56.6","24"
"02037800","Thirumalapura","0","10","44","1,316","800","77.1","36.8","2"
"02037900","Doddabidarakallu","19","674","2,866","920","928","80.9","61.0","230"
"02038000","Kariobanahalli","4","112","427","923","1,313","79.3","68.9","12"
"02038100","Handrahalli","469","1,005","4,076","898","1,008","77.4","62.5","177"
"02038200","Lingadeeranahalli","","Un-inhabited","","","","","",""
"02038300","Hosahalli Gollarapalya","79","703","3,045","942","1,100","66.4","59.2","297"
"02038400","Kodigehalli","6","396","1,959","945","1,015","76.0","60.3","282"
"02038500","Seegehalli","0","61","305","943","1,350","71.7","62.4","78"
"02038600","Kannahalli","71","216","1,072","914","708","78.4","62.3","39"
"02038700","Manganahalli","0","131","618","931","1,030","65.3","67.5","48"
"02038800","Ullalu","39","1,588","6,851","936","829","70.9","60.4","823"
"02038900","Gidadakonenahalli","8","349","1,599","897","841","68.1","57.5","121"
"02039000","Sonnenahalli","0","238","1,261","952","778","67.6","59.4","195"
"02039100","Challahalli","0","166","854","1,000","1,019","74.4","56.7","85"
"02039200","Haniyur","0","207","1,009","940","967","66.0","63.3","125"
"02039300","Kakkehalli","0","55","225","844","643","56.4","53.3","11"
"02039400","Nellukunte","0","61","285","979","1,545","67.3","41.0","62"
"02039500","Kadathanamale","30","88","457","1,049","1,370","67.7","60.5","5"
"02039600","Marasandra Amanikere","60","347","1,443","999","827","76.7","57.8","207"
"02039700","Suradenpura","18","280","1,464","942","907","66.3","59.2","417"
"02039800","Adde Vishwanathapura","27","327","1,532","852","703","67.6","59.7","145"
"02039900","Arakere","0","148","666","925","889","67.2","58.7","84"
